City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,champerico,14.3,-91.9167,91.94,70.0,71.0,11.68,GT,1717444272.0
256,grand-bassam,5.2118,-3.7388,82.36,86.0,57.0,6.06,CI,1717444272.0
257,soyaux,45.65,0.2,68.59,52.0,0.0,5.75,FR,1717444272.0
258,carnarvon,-24.8667,113.6333,65.3,69.0,0.0,9.44,AU,1717444273.0
259,zemetchino,53.4973,42.6163,62.58,91.0,19.0,7.81,RU,1717444273.0
260,moose jaw,50.4001,-105.5344,68.25,49.0,100.0,11.5,CA,1717444273.0
261,ancud,-41.8697,-73.8203,45.54,85.0,100.0,8.75,CL,1717443989.0
262,cidreira,-30.1811,-50.2056,53.82,86.0,100.0,9.13,BR,1717444273.0
263,nadi,-17.8,177.4167,68.0,77.0,40.0,2.3,FJ,1717444273.0
264,amga,60.8953,131.9608,49.59,56.0,29.0,9.35,RU,1717444273.0
265,toga village,,,,,,,,
266,namibe,-15.1961,12.1522,66.42,70.0,3.0,2.17,AO,1717444273.0
267,banikoara,11.2985,2.4386,81.81,66.0,100.0,5.86,BJ,1717444274.0
268,san pedro,14.35,121.0167,85.23,83.0,20.0,5.75,PH,1717444274.0
269,espargos,,,,,,,,
270,urucara,-2.5364,-57.76,82.15,87.0,81.0,4.29,BR,1717444274.0
271,sarakhs,36.5449,61.1577,82.13,29.0,0.0,17.78,IR,1717444274.0
272,punta arenas,-53.15,-70.9167,37.51,87.0,0.0,8.05,CL,1717444067.0
273,bel ombre,-4.6167,55.4167,84.04,79.0,40.0,5.75,SC,1717444274.0
274,polyarnyy,69.1989,33.4478,53.28,85.0,0.0,5.19,RU,1717444274.0
275,svetlyy,54.675,20.1347,57.25,79.0,4.0,10.56,RU,1717444274.0
276,vytegra,61.0064,36.4481,63.36,87.0,88.0,5.01,RU,1717444275.0
277,aioun,16.6614,-9.6149,100.24,12.0,0.0,9.84,MR,1717444275.0
278,hawaiian paradise park,19.5933,-154.9731,76.03,96.0,100.0,5.75,US,1717444275.0
279,leun,50.5513,8.3584,57.92,80.0,67.0,2.08,DE,1717444275.0
280,mukalla,14.5425,49.1242,86.47,72.0,46.0,4.16,YE,1717444275.0
281,pundong,-7.9522,110.3486,75.65,92.0,100.0,4.32,ID,1717444275.0
282,cromwell,41.5951,-72.6454,90.32,34.0,20.0,8.05,US,1717444275.0
283,kuta,-8.7233,115.1723,77.0,100.0,40.0,0.0,ID,1717444275.0
284,nemuro,43.3236,145.575,44.85,95.0,100.0,6.78,JP,1717444275.0
285,alpena,45.0617,-83.4327,75.72,87.0,0.0,11.5,US,1717443890.0
286,kulia village,,,,,,,,
287,hasaki,35.7333,140.8333,59.4,73.0,99.0,16.87,JP,1717444276.0
288,sinabang,2.4803,96.3801,79.77,87.0,48.0,4.83,ID,1717444276.0
289,nabire,-3.3667,135.4833,76.23,93.0,100.0,3.49,ID,1717444276.0
290,kodinsk,58.6881,99.1844,48.43,94.0,100.0,5.53,RU,1717444276.0
291,volokolamsk,56.0336,35.9694,59.86,91.0,95.0,6.96,RU,1717444276.0
292,suyan,6.0603,125.3853,77.0,90.0,73.0,2.84,PH,1717444276.0
293,qingdao,36.0986,120.3719,60.4,88.0,0.0,2.24,CN,1717444133.0
294,magadan,59.5667,150.8,44.53,87.0,100.0,4.85,RU,1717444239.0
295,becancour,46.3334,-72.4324,87.82,36.0,0.0,10.36,CA,1717444277.0
296,conceicao do araguaia,-8.2578,-49.2647,89.73,47.0,100.0,4.23,BR,1717444277.0
297,puerto armuelles,8.2833,-82.8667,78.78,89.0,100.0,5.01,PA,1717444277.0
298,lubang,13.8584,120.124,84.33,78.0,100.0,5.7,PH,1717444277.0
299,madera,37.1666,-119.8343,84.52,46.0,100.0,12.48,US,1717444247.0
300,ayaguz,,,,,,,,
301,simrishamn,55.5565,14.3504,60.94,81.0,100.0,14.09,SE,1717444278.0
302,zhaotong,27.3167,103.7167,54.12,95.0,100.0,6.4,CN,1717444278.0
303,ouellah,,,,,,,,
304,mirnyy,62.5353,113.9611,54.23,66.0,100.0,1.99,RU,1717444278.0
305,grand falls-windsor,48.9332,-55.6649,64.71,69.0,91.0,10.69,CA,1717444278.0
306,mammoth lakes,37.6485,-118.9721,62.26,44.0,0.0,10.36,US,1717444278.0
307,lerwick,60.1545,-1.1494,50.0,71.0,27.0,21.92,GB,1717444278.0
308,nadym,65.5333,72.5167,25.97,95.0,15.0,4.5,RU,1717444279.0
309,jinjiang,24.8198,118.5741,71.02,76.0,70.0,3.89,CN,1717444279.0
310,xining,36.6167,101.7667,49.77,85.0,100.0,3.6,CN,1717444279.0
311,mountain home,43.133,-115.6912,63.88,82.0,75.0,8.01,US,1717444279.0
312,petukhovo,55.0692,67.9019,55.27,96.0,98.0,11.59,RU,1717444279.0
313,coquimbo,-29.9533,-71.3436,55.13,94.0,100.0,4.61,CL,1717443991.0
314,esquel,-42.9,-71.3167,39.94,73.0,100.0,2.04,AR,1717444243.0
315,genhe,50.7833,121.5167,41.0,97.0,7.0,3.33,CN,1717444279.0
316,highfields,-27.4518,151.9463,38.35,90.0,85.0,4.43,AU,1717444280.0
317,iquique,-20.2208,-70.1431,66.24,77.0,26.0,2.15,CL,1717444280.0
318,radomsko,51.0671,19.4448,58.35,95.0,100.0,6.85,PL,1717444280.0
319,la'ie,21.6477,-157.9253,78.76,82.0,16.0,5.01,US,1717444280.0
320,kuanda,56.3161,116.0806,56.35,91.0,78.0,3.11,RU,1717444280.0
321,dalbandin,28.8947,64.4101,90.61,8.0,1.0,2.46,PK,1717444280.0
322,kolosovka,56.4678,73.611,41.86,95.0,100.0,11.56,RU,1717444280.0
323,taourirt,34.4073,-2.8973,70.5,64.0,90.0,8.93,MA,1717444280.0
324,hafnarfjordur,64.0671,-21.9377,42.67,70.0,75.0,24.16,IS,1717444280.0
325,arawa,-6.2132,155.5367,78.8,90.0,83.0,2.51,PG,1717444281.0
